,date,open,close,high,low,volume,dopen,dclose,dhigh,dlow,dvolume,price
1,2012-09-26,0.26685279526233885,0.26323158050495377,0.2678300516921496,0.26234375685990113,0.025427605093442586,-0.000995142986762343,-0.0035301559219950707,-0.0009252228095878445,-0.003261857567720905,-0.003261857567720905,1618.84
2,2012-09-27,0.2633356477453995,0.27022359822240144,0.2717000521962253,0.2628722233152896,0.044660841390246876,-0.003517147516939323,0.006992017717447674,0.00387000050407571,0.0005284664553884544,0.0005284664553884544,1661.84
3,2012-09-28,0.2684381946285043,0.27511475852335093,0.2754074476371045,0.26809347189452787,0.05377048891959509,0.005102546883104797,0.004891160300949493,0.0037073954408792242,0.00522124857923828,0.00522124857923828,1691.92
4,2012-10-08,0.27553102748513386,0.27364318270142296,0.27755871262319365,0.2721049388035845,0.03496291856703776,0.0070928328566295384,-0.0014715758219279729,0.002151264986089141,0.004011466909056627,0.004011466909056627,1682.87
5,2012-10-09,0.2745261281945797,0.28019128859634435,0.28039779702660383,0.2745261281945797,0.051637776223334694,-0.0010048992905541398,0.0065481058949213855,0.002839084403410186,0.0024211893909952265,0.0024211893909952265,1723.14
6,2012-10-10,0.2791180951792477,0.28100756601359056,0.28149050305128404,0.2777652210534532,0.03534142604280201,0.004591966984667961,0.0008162774172462139,0.0010927060246802012,0.0032390928588734713,0.0032390928588734713,1728.16
7,2012-10-11,0.2798286793054162,0.2769326831298873,0.28079455338080317,0.2768481284970251,0.043217266102440144,0.0007105841261685342,-0.004074882883703279,-0.0006959496704808665,-0.0009170925564280785,-0.0009170925564280785,1703.1
8,2012-10-12,0.2775310697624503,0.2764513721428258,0.2802807213811024,0.2744480777642454,0.033240448428519934,-0.0022976095429659282,-0.00048131098706150066,-0.0005138319997007867,-0.0024000507327797127,-0.0024000507327797127,1700.14
9,2012-10-15,0.27647576290230524,0.2745310063464756,0.2768269898388096,0.2722919346262604,0.023937442392919284,-0.0010553068601450444,-0.0019203657963501874,-0.0034537315422927817,-0.0021561431379850116,-0.0021561431379850116,1688.33
10,2012-10-16,0.27453263239710757,0.275157035839782,0.277267649560072,0.27393749786580857,0.025445542101481707,-0.0019431305051976766,0.0006260294933064237,0.00044065972126239306,0.0016455632395481756,0.0016455632395481756,1692.18
