date,open,close,high,low,vol
2012-09-25,2675.51,2669.29,2695.76,2659.16,927825
2012-09-26,2660.17,2625.36,2676.44,2616.48,980991
2012-09-27,2618.15,2681.36,2701.47,2613.79,1299640
2012-09-28,2666.87,2723.82,2726.61,2660.25,1376910
2012-10-08,2718.39,2701.07,2728.99,2689.03,841577
2012-10-09,2703.85,2768.65,2770.42,2701.45,1338658
2012-10-10,2764.93,2809.85,2811.7,2757.03,1238269
2012-10-11,2801.38,2773.69,2808.43,2770.69,1405217
2012-10-12,2776.87,2756.68,2801.95,2735.86,1199158
2012-10-15,2754.09,2739.29,2756.21,2712.45,775229
2012-10-16,2737.07,2756.09,2776.01,2731.83,992108
2012-10-17,2758.45,2763.3,2774.45,2739.84,1114345
2012-10-18,2765.61,2838.72,2851.22,2763.23,2142003
2012-10-19,2832.95,2829.59,2878.15,2825.33,1718542
2012-10-22,2801.71,2859.21,2867.38,2791.0,1348931
2012-10-23,2852.82,2856.3,2920.31,2848.42,2217513
2012-10-24,2831.07,2838.89,2864.09,2822.4,1204195
2012-10-25,2840.83,2795.15,2854.01,2791.86,1200300
2012-10-26,2797.92,2761.36,2811.2,2735.0,1598910
2012-10-29,2751.64,2793.02,2796.25,2745.57,1236890
2012-10-30,2789.09,2815.49,2859.49,2789.09,1998733
2012-10-31,2807.98,2833.24,2834.44,2792.97,1879284
2012-11-01,2833.2,2967.44,2989.37,2833.2,3578293
2012-11-02,2978.2,3062.09,3083.41,2974.99,4427443
2012-11-05,3038.73,3033.36,3071.09,3007.53,2988964
2012-11-06,3031.08,2984.03,3031.08,2929.19,2949823
2012-11-07,2974.09,2958.36,2997.12,2951.47,2080499
2012-11-08,2928.42,2897.98,2992.29,2895.62,2507855
2012-11-09,2886.58,2899.06,2917.5,2876.42,1619799
2012-11-12,2900.98,2973.24,2974.29,2900.97,1912630
2012-11-13,2968.09,2842.76,2968.24,2834.19,2217206
2012-11-14,2837.15,2842.67,2852.81,2810.01,1082847
2012-11-15,2831.4,2795.84,2881.81,2793.63,1434554
2012-11-16,2785.99,2812.55,2820.22,2762.71,1795612
2012-11-19,2805.8,2826.65,2829.58,2777.31,1329529
2012-11-20,2838.89,2802.85,2862.55,2800.52,1530381
2012-11-21,2790.45,2879.43,2880.85,2767.11,2176386
2012-11-22,2850.9,2826.49,2854.63,2813.03,1617681
2012-11-23,2817.69,2826.2,2856.24,2817.68,1168683
2012-11-26,2822.34,2809.44,2843.66,2804.26,1054058
2012-11-27,2792.83,2688.03,2794.16,2683.11,1200076
2012-11-28,2673.03,2625.46,2679.85,2614.73,1092528
2012-11-29,2630.68,2592.75,2657.82,2583.48,974451
2012-11-30,2593.45,2691.09,2703.59,2593.45,1984316
2012-12-03,2682.1,2657.66,2740.56,2656.46,1749700
2012-12-04,2644.35,2691.86,2695.58,2598.76,1410151
2012-12-05,2679.96,2788.74,2832.17,2675.9,2622365
2012-12-06,2779.55,2821.51,2843.18,2774.36,2181446
2012-12-07,2812.71,2866.37,2874.92,2802.25,2350115
2012-12-10,2880.37,2900.76,2908.11,2868.8,2191400
2012-12-11,2901.12,2908.14,2962.4,2881.07,2641359
2012-12-12,2902.57,2928.6,2930.75,2871.45,2368315
2012-12-13,2912.71,2912.94,2980.78,2905.21,2205714
2012-12-14,2909.8,3045.42,3059.47,2909.69,3467291
2012-12-17,3056.18,3100.18,3122.59,3053.8,3937831
2012-12-18,3094.46,3065.85,3135.87,3045.13,2936836
2012-12-19,3053.98,3054.72,3073.89,3023.05,2386634
2012-12-20,3043.14,3052.23,3072.53,3005.46,2163797
2012-12-21,3051.1,3020.9,3079.42,2997.37,2314206
2012-12-24,3007.74,3049.54,3051.07,2999.08,1624223
2012-12-25,3040.57,3198.17,3200.09,3028.45,4145829
2012-12-26,3204.82,3260.19,3267.13,3202.65,3435608
2012-12-27,3271.42,3225.21,3288.97,3216.39,3231030
2012-12-28,3215.88,3357.77,3362.24,3215.88,3984642
2012-12-31,3403.38,3458.88,3511.85,3388.69,5179196
2013-01-04,3482.56,3462.95,3505.33,3418.77,3078615
2013-01-07,3443.87,3474.35,3475.89,3419.34,2155238
2013-01-08,3472.37,3476.96,3494.47,3414.32,2463295
2013-01-09,3448.55,3451.58,3470.61,3405.88,2083844
2013-01-10,3440.44,3504.76,3521.17,3430.65,2523381
2013-01-11,3492.07,3368.04,3492.65,3359.3,2085192
2013-01-14,3350.65,3470.98,3485.24,3344.75,1995025
2013-01-15,3470.44,3486.02,3499.94,3457.03,1883866
2013-01-16,3487.15,3437.31,3493.21,3404.36,1869794
2013-01-17,3446.52,3449.14,3508.82,3444.68,1707439
2013-01-18,3457.53,3524.39,3536.22,3429.34,2093188
2013-01-21,3547.44,3583.08,3616.64,3547.44,2116686
2013-01-22,3582.36,3528.63,3593.71,3507.41,2002569
2013-01-23,3487.05,3532.83,3550.36,3469.81,1812896
2013-01-24,3520.27,3408.28,3540.9,3384.46,1854967
2013-01-25,3399.37,3366.99,3420.42,3358.92,872408
2013-01-28,3370.96,3464.01,3466.84,3370.96,1379285
2013-01-29,3465.57,3480.53,3510.04,3465.57,1456455
2013-01-30,3474.27,3482.15,3487.35,3432.73,1332674
2013-01-31,3473.14,3388.23,3473.2,3375.78,1335574
2013-02-01,3382.85,3400.22,3400.75,3365.22,988210
2013-02-04,3409.66,3387.31,3424.44,3358.82,1123709
2013-02-05,3363.88,3451.98,3460.11,3347.62,1367101
2013-02-06,3449.52,3425.14,3451.54,3411.24,949409
2013-02-07,3419.62,3424.18,3431.71,3402.85,728590
2013-02-08,3423.75,3466.43,3475.23,3422.92,1034777
2013-02-18,3480.58,3475.94,3494.82,3455.94,1177344
2013-02-19,3469.98,3381.79,3479.83,3363.31,1082883
2013-02-20,3376.35,3406.62,3408.32,3352.83,789341
2013-02-21,3378.7,3318.9,3382.38,3297.84,1163997
2013-02-22,3314.64,3342.64,3371.22,3314.64,956081
2013-02-25,3340.33,3341.88,3368.72,3327.99,891925
2013-02-26,3333.89,3265.54,3346.8,3254.42,885247
2013-02-27,3263.98,3321.86,3322.97,3263.98,1004069
2013-02-28,3322.51,3404.15,3412.52,3321.91,1326016
2013-03-01,3401.95,3388.88,3406.43,3355.26,1010449
2013-03-04,3283.41,3090.6,3283.41,3079.77,1694449
2013-03-05,3056.15,3095.69,3098.39,3027.16,1146447
2013-03-06,3095.99,3110.16,3130.2,3083.03,935258
2013-03-07,3111.76,3136.94,3161.61,3084.31,1236582
2013-03-08,3130.62,3085.59,3131.24,3083.09,777908
2013-03-11,3088.88,3116.01,3126.65,3078.37,654142
2013-03-12,3114.19,3062.77,3143.13,3034.97,736881
2013-03-13,3058.73,3041.08,3063.39,3013.43,687529
2013-03-14,3042.85,3056.06,3078.43,3031.1,683452
2013-03-15,3045.68,3022.82,3063.91,2991.64,714699
2013-03-18,3015.88,3000.37,3035.18,2990.12,438364
2013-03-19,2999.54,3085.66,3086.9,2999.45,921937
2013-03-20,3079.01,3141.41,3142.0,3068.47,1045677
2013-03-21,3133.95,3119.31,3141.57,3102.26,851113
2013-03-22,3115.8,3123.36,3132.04,3102.73,647550
2013-03-25,3124.91,3127.02,3136.38,3095.97,679555
2013-03-26,3127.69,3097.54,3149.45,3086.0,945730
2013-03-27,3085.5,3100.62,3110.59,3064.57,760556
2013-03-28,3076.25,2981.43,3076.25,2976.21,875858
2013-03-29,2993.43,3031.88,3039.19,2993.17,702100
2013-04-01,3046.05,3085.4,3121.46,3042.92,1332323
2013-04-02,3081.11,3108.71,3146.0,3071.51,1481720
2013-04-03,3096.56,3055.33,3104.0,3033.79,1143337
2013-04-08,2991.23,2998.26,3001.39,2931.55,819941
2013-04-09,2991.12,3041.96,3043.51,2991.02,758096
2013-04-10,3042.71,3028.84,3050.89,2998.61,763615
2013-04-11,3033.06,3023.33,3044.22,3013.25,586612
2013-04-12,3012.34,2999.21,3033.25,2994.58,547474
2013-04-15,2981.83,2998.45,3019.57,2961.16,755172
2013-04-16,2966.13,3067.37,3067.57,2953.08,1210385
2013-04-17,3062.92,3068.39,3079.23,3026.26,913559
2013-04-18,3047.66,3045.94,3085.62,3030.83,812592
2013-04-19,3043.25,3101.95,3109.34,3043.25,1222894
2013-04-22,3075.86,3065.41,3088.98,3038.07,767885
2013-04-23,3058.39,2955.37,3059.95,2950.11,826865
2013-04-24,2955.11,2987.52,3004.05,2946.09,577944
2013-04-25,2986.78,2960.61,3003.33,2958.96,838645
2013-04-26,2967.31,2933.2,2983.28,2914.38,761352
2013-05-02,2937.73,2968.37,2981.06,2931.79,676380
2013-05-03,2978.55,3029.42,3033.11,2975.77,956980
2013-05-06,3028.34,3046.38,3049.28,3017.64,900730
2013-05-07,3043.1,3045.34,3051.84,3026.6,671743
2013-05-08,3050.25,3046.23,3071.87,3026.03,767163
2013-05-09,3037.2,3001.2,3040.22,2978.47,722279
2013-05-10,2999.85,3050.66,3050.86,2997.69,834944
2013-05-13,3045.83,3051.73,3062.71,3034.47,692015
2013-05-14,3053.43,3051.51,3059.38,3023.41,824075
2013-05-15,3042.83,3058.58,3069.0,3039.26,586106
2013-05-16,3056.8,3170.89,3172.44,3035.57,1658337
2013-05-17,3168.09,3198.53,3220.93,3163.0,2092890
2013-05-20,3197.36,3204.94,3234.22,3190.14,1640831
