date,open,close,high,low,vol
2012-09-25,2532.54,2524.29,2542.91,2516.99,2771211
2012-09-26,2524.46,2481.02,2525.1,2475.53,3023355
2012-09-27,2477.87,2519.57,2531.42,2474.73,4045800
2012-09-28,2509.77,2557.81,2558.44,2502.1,4130999
2012-10-08,2557.84,2549.52,2567.67,2538.43,2943584
2012-10-09,2553.3,2601.5,2601.66,2553.3,4662883
2012-10-10,2596.48,2618.39,2621.34,2586.9,5240424
2012-10-11,2613.76,2591.23,2618.24,2589.31,4703434
2012-10-12,2594.8,2588.62,2613.15,2570.21,3411146
2012-10-15,2585.94,2576.31,2587.32,2558.67,2755622
2012-10-16,2574.9,2582.11,2598.29,2570.56,2960600
2012-10-17,2586.53,2588.45,2592.39,2567.69,3253529
2012-10-18,2591.48,2627.42,2629.28,2589.55,5544875
2012-10-19,2625.83,2616.67,2629.31,2611.67,3754880
2012-10-22,2606.03,2627.97,2630.59,2601.96,3645133
2012-10-23,2629.03,2606.13,2633.29,2601.97,4124658
2012-10-24,2594.41,2614.4,2623.01,2589.83,6568498
2012-10-25,2614.95,2601.15,2644.55,2596.03,9120936
2012-10-26,2594.1,2549.89,2594.1,2530.57,6265959
2012-10-29,2542.34,2553.12,2558.13,2531.84,3494879
2012-10-30,2549.52,2550.67,2563.95,2542.61,3578106
2012-10-31,2544.1,2551.03,2551.82,2523.65,4947111
2012-11-01,2548.39,2584.44,2587.67,2547.76,5803723
2012-11-02,2585.33,2594.61,2594.61,2571.51,4745618
2012-11-05,2593.59,2594.05,2601.55,2580.75,5109536
2012-11-06,2591.48,2581.41,2591.96,2547.4,4638705
2012-11-07,2576.9,2578.25,2586.15,2565.47,3406237
2012-11-08,2562.02,2537.34,2565.83,2534.65,4266789
2012-11-09,2531.29,2534.93,2546.33,2524.1,3348178
2012-11-12,2532.32,2535.48,2543.09,2520.44,3219845
2012-11-13,2533.82,2504.0,2533.82,2496.56,4053522
2012-11-14,2499.58,2504.16,2505.36,2483.8,3274812
2012-11-15,2494.26,2465.03,2499.35,2462.39,3334203
2012-11-16,2460.84,2452.69,2461.95,2429.26,3499233
2012-11-19,2448.95,2455.9,2456.36,2426.08,2949594
2012-11-20,2456.71,2444.7,2463.25,2442.85,2917319
2012-11-21,2446.87,2464.08,2464.41,2419.97,4042714
2012-11-22,2455.39,2436.39,2455.39,2431.06,3092858
2012-11-23,2436.3,2447.84,2453.54,2435.71,3538006
2012-11-26,2447.13,2431.61,2449.53,2428.58,3407164
2012-11-27,2425.17,2372.92,2425.17,2371.05,4037446
2012-11-28,2363.07,2333.96,2363.07,2327.38,3152678
2012-11-29,2333.1,2335.19,2345.73,2330.57,3247099
2012-11-30,2333.07,2361.01,2361.56,2328.82,3055763
2012-12-03,2358.99,2317.44,2359.28,2315.71,3303085
2012-12-04,2309.79,2336.26,2337.54,2295.61,3815048
2012-12-05,2333.36,2402.52,2409.58,2326.08,7140814
2012-12-06,2398.23,2399.94,2407.24,2387.18,4754678
2012-12-07,2397.6,2438.75,2439.52,2390.37,6589765
2012-12-10,2441.49,2468.28,2469.93,2433.55,7173044
2012-12-11,2465.15,2458.22,2472.71,2454.4,5693753
2012-12-12,2454.27,2454.22,2461.23,2436.89,4427705
2012-12-13,2450.27,2429.91,2458.14,2428.84,4186344
2012-12-14,2428.17,2506.63,2510.87,2427.73,9580316
2012-12-17,2509.66,2517.86,2522.94,2503.7,8800088
2012-12-18,2518.33,2513.76,2535.36,2503.74,7326920
2012-12-19,2515.92,2522.73,2527.54,2509.83,6011921
2012-12-20,2518.05,2529.2,2531.06,2501.81,5781121
2012-12-21,2529.75,2528.92,2553.36,2518.82,6939701
2012-12-24,2527.28,2540.75,2541.92,2525.09,5283495
2012-12-25,2537.84,2589.03,2592.01,2526.98,10015941
2012-12-26,2587.98,2610.51,2610.51,2586.09,7645962
2012-12-27,2612.32,2600.68,2623.81,2595.66,8868520
2012-12-28,2597.97,2616.65,2617.34,2586.73,6820682
2012-12-31,2619.01,2645.85,2646.28,2613.46,8552930
2013-01-04,2660.61,2633.01,2666.83,2614.89,10073193
2013-01-07,2633.49,2660.06,2660.82,2628.96,8542132
2013-01-08,2658.98,2683.41,2685.76,2647.94,8161644
2013-01-09,2677.97,2681.86,2696.89,2664.08,7067405
2013-01-10,2679.24,2694.78,2704.51,2677.55,6969375
2013-01-11,2696.83,2644.79,2699.72,2638.19,8182609
2013-01-14,2641.51,2721.03,2721.72,2641.51,9406778
2013-01-15,2722.47,2755.37,2760.81,2721.07,11663219
2013-01-16,2752.69,2745.41,2757.58,2711.7,9230121
2013-01-17,2740.43,2726.34,2751.21,2712.96,7016239
2013-01-18,2728.67,2753.49,2756.21,2719.59,7309013
2013-01-21,2756.55,2770.43,2771.81,2741.46,8888956
2013-01-22,2768.91,2735.04,2768.91,2721.03,9087307
