date,open,close,high,low,vol
2012-09-25,5083.8,5072.03,5112.3,5054.12,1202918
2012-09-26,5074.99,4991.85,5088.03,4968.04,1467112
2012-09-27,4989.22,5070.47,5099.56,4974.01,1883967
2012-09-28,5045.31,5142.25,5144.51,5025.23,2140553
2012-10-08,5139.22,5143.83,5161.99,5118.99,1466590
2012-10-09,5151.35,5272.57,5274.39,5151.35,2533872
2012-10-10,5265.37,5314.92,5316.26,5249.87,2221051
2012-10-11,5316.21,5258.02,5338.03,5254.87,2107688
2012-10-12,5263.18,5243.8,5304.3,5206.46,1866376
2012-10-15,5242.83,5275.07,5275.59,5215.27,2137661
2012-10-16,5272.22,5329.02,5380.61,5261.39,3091937
2012-10-17,5332.14,5321.95,5350.43,5292.2,2054083
2012-10-18,5319.06,5369.04,5373.52,5318.88,2394812
2012-10-19,5361.82,5327.37,5375.92,5316.05,2303958
2012-10-22,5307.86,5367.78,5370.52,5298.48,1880871
2012-10-23,5370.59,5282.4,5379.34,5270.82,2508566
2012-10-24,5263.17,5233.78,5278.16,5214.89,1863663
2012-10-25,5232.09,5177.44,5254.52,5167.64,1708333
2012-10-26,5173.4,5124.27,5184.34,5065.11,1916130
2012-10-29,5124.14,5143.09,5150.74,5090.77,1715007
2012-10-30,5135.51,5128.96,5178.11,5119.24,1851684
2012-10-31,5123.03,5183.51,5185.29,5115.17,2273948
2012-11-01,5176.12,5251.69,5257.29,5175.83,2432912
2012-11-02,5259.15,5259.48,5269.72,5221.07,1902756
2012-11-05,5265.64,5250.46,5278.18,5220.87,2080113
2012-11-06,5248.95,5229.41,5252.8,5158.47,2125136
2012-11-07,5220.11,5227.03,5232.28,5193.13,1773903
2012-11-08,5190.31,5132.0,5207.56,5127.09,2149703
2012-11-09,5122.89,5091.11,5149.97,5070.6,1687598
2012-11-12,5080.69,5065.66,5109.01,5017.25,1656516
2012-11-13,5061.95,4983.81,5062.51,4971.92,1712028
2012-11-14,4974.22,5006.68,5010.33,4950.74,1449849
2012-11-15,4981.65,4957.22,5024.78,4945.74,1684349
2012-11-16,4948.83,4902.93,4951.14,4863.73,1663946
2012-11-19,4892.74,4886.75,4895.9,4830.33,1521821
2012-11-20,4888.32,4851.0,4905.94,4846.58,1221821
2012-11-21,4849.9,4883.8,4888.76,4770.7,1607030
2012-11-22,4860.42,4810.73,4860.43,4806.16,1297709
2012-11-23,4811.52,4825.55,4843.91,4803.96,1416145
