date,open,close,high,low,vol
2012-09-25,1802.63,1799.73,1810.28,1794.71,6834771
2012-09-26,1797.35,1779.83,1803.7,1774.85,6682759
2012-09-27,1779.05,1832.32,1843.22,1778.06,11514442
2012-09-28,1821.2,1866.73,1869.26,1819.17,13043265
2012-10-08,1864.88,1846.37,1875.49,1836.15,7174980
2012-10-09,1856.29,1882.64,1889.21,1856.08,10503698
2012-10-10,1876.71,1880.73,1882.59,1866.0,8007812
2012-10-11,1872.95,1866.82,1878.03,1861.55,7573751
2012-10-12,1873.66,1869.15,1890.81,1855.98,8114622
2012-10-15,1868.47,1857.22,1868.47,1846.19,6398581
2012-10-16,1855.0,1864.72,1876.72,1851.22,6766311
2012-10-17,1870.67,1871.31,1877.88,1854.03,7997314
2012-10-18,1876.05,1898.94,1903.31,1874.91,10520029
2012-10-19,1897.78,1895.66,1904.56,1892.41,8252991
2012-10-22,1883.29,1902.89,1907.84,1878.8,7461195
2012-10-23,1901.96,1878.8,1905.53,1877.15,6972748
2012-10-24,1870.39,1878.46,1886.84,1868.96,6816718
2012-10-25,1877.08,1865.36,1890.27,1861.78,8751187
2012-10-26,1866.84,1828.88,1868.97,1819.95,8718083
2012-10-29,1823.76,1819.09,1829.54,1813.15,6316653
2012-10-30,1818.36,1824.9,1836.45,1812.77,7716303
2012-10-31,1826.83,1839.83,1841.33,1820.41,7188602
2012-11-01,1842.36,1879.71,1886.43,1842.19,11290672
2012-11-02,1879.33,1886.87,1890.45,1867.01,10212434
2012-11-05,1882.53,1883.04,1894.84,1872.7,8687984
2012-11-06,1883.77,1873.58,1885.1,1847.06,8261739
2012-11-07,1871.01,1874.96,1886.98,1863.88,7998370
2012-11-08,1860.2,1841.92,1866.81,1841.25,7460918
2012-11-09,1838.82,1838.7,1850.83,1833.68,5899732
2012-11-12,1839.87,1846.59,1850.27,1831.86,7360634
2012-11-13,1847.3,1815.58,1847.3,1813.57,7063812
2012-11-14,1817.29,1825.55,1828.15,1809.54,5946202
2012-11-15,1815.14,1801.15,1821.15,1800.16,5929086
2012-11-16,1797.65,1788.14,1798.5,1775.9,6382929
2012-11-19,1786.68,1784.05,1786.68,1764.39,5158341
2012-11-20,1789.88,1779.73,1794.53,1776.53,5025351
2012-11-21,1778.0,1801.15,1801.96,1763.26,6153804
2012-11-22,1787.03,1785.9,1794.29,1779.39,4784298
2012-11-23,1789.84,1800.45,1808.04,1786.57,6159375
2012-11-26,1797.51,1788.5,1800.38,1784.12,5353695
2012-11-27,1782.62,1770.79,1787.64,1770.07,6538180
2012-11-28,1764.13,1756.31,1766.34,1752.78,6458475
2012-11-29,1755.79,1752.92,1766.42,1751.22,5905218
2012-11-30,1750.95,1767.94,1770.98,1747.16,7592257
2012-12-03,1764.14,1733.06,1771.11,1732.18,7872919
2012-12-04,1726.43,1744.41,1749.47,1720.36,7434709
2012-12-05,1740.95,1811.38,1818.82,1738.67,19351174
2012-12-06,1808.82,1806.88,1817.58,1793.38,12163769
2012-12-07,1809.56,1850.8,1855.1,1808.08,20194725
2012-12-10,1857.82,1871.47,1876.93,1852.9,18458575
2012-12-11,1866.47,1864.02,1878.51,1860.14,11813669
2012-12-12,1865.66,1879.4,1881.84,1862.64,11897595
2012-12-13,1873.34,1856.04,1880.87,1854.77,10260565
2012-12-14,1857.52,1955.01,1957.73,1857.52,27743974
2012-12-17,1958.0,1965.6,1978.12,1954.26,22833511
2012-12-18,1960.03,1978.44,2000.89,1947.88,24788413
2012-12-19,1971.1,1981.08,1997.47,1968.56,17562923
2012-12-20,1970.74,1992.51,1995.89,1957.06,17756595
2012-12-21,1992.34,1977.49,2014.35,1970.98,17564369
2012-12-24,1972.37,1985.37,2001.28,1970.18,13421861
2012-12-25,1977.96,2045.51,2055.16,1970.25,23994526
2012-12-26,2042.74,2050.84,2057.22,2040.35,18312588
2012-12-27,2055.93,2038.01,2070.35,2036.82,17454847
2012-12-28,2039.75,2071.8,2074.66,2039.75,16615365
